index,i,j,k,mean,std,skew,kurtosis,exceed_3sigma,bc
306,3,7,0,-0.003290145192295313,0.0013850927352905273,0.2443578839302063,11.78409194946289,0.036,0.08992722630500793
307,3,7,1,-0.0014864132972434163,0.003394791856408119,0.36243748664855957,2.351560592651367,0.0003,0.48111066222190857
308,3,7,2,0.0026882090605795383,0.0029139695689082146,-0.6220034956932068,3.7699289321899414,0.0083,0.3678818345069885
309,3,7,3,0.004114596173167229,0.002405583392828703,-0.026990996673703194,3.224257707595825,0.0068,0.3103748559951782
310,3,7,4,0.004314605612307787,0.0023981970734894276,0.10747434943914413,2.831409454345703,0.0025,0.35726049542427063
311,3,7,5,0.004108488094061613,0.002422065008431673,-0.06583122909069061,3.4541518688201904,0.0065,0.2907613217830658
312,3,7,6,0.0026645094621926546,0.0029368228279054165,-0.6803863048553467,3.846348762512207,0.0075,0.38034138083457947
313,3,7,7,-0.0015075746923685074,0.0033726785331964493,0.4123165011405945,2.3724887371063232,0.0004,0.4931550621986389
314,3,7,8,-0.003276759060099721,0.0013674140209332108,0.2582665979862213,12.262560844421387,0.0359,0.08698848634958267
315,3,8,0,-0.0031301307026296854,0.0004906923277303576,-3.133854866027832,50.39497756958008,0.0284,0.21472468972206116
316,3,8,1,-0.003302804660052061,0.001401109155267477,0.28953787684440613,11.690896987915039,0.0349,0.09270735830068588
317,3,8,2,-0.00267115980386734,0.0027929821517318487,0.8089017868041992,3.7212226390838623,0.0048,0.4445641338825226
318,3,8,3,-0.0007698365370742977,0.0035238084383308887,0.12806645035743713,2.1728100776672363,0.0,0.46778181195259094
319,3,8,4,0.00020019982184749097,0.0034843420144170523,-0.15517482161521912,2.248621702194214,0.0,0.45542529225349426
320,3,8,5,-0.0007554808398708701,0.0034909755922853947,0.16317103803157806,2.187610387802124,0.0001,0.46929052472114563
321,3,8,6,-0.002692257286980748,0.002825838513672352,0.8352155089378357,3.790287494659424,0.005,0.44787758588790894
322,3,8,7,-0.00328478473238647,0.0014300751499831676,0.35436514019966125,11.242875099182129,0.0358,0.10011447966098785
323,3,8,8,-0.0031240053940564394,0.0004571679455693811,-1.8757480382919312,46.036476135253906,0.0284,0.09814892709255219
324,4,0,0,-0.003140954999253154,0.0005376065382733941,-2.9429097175598145,43.715579986572266,0.0314,0.22099027037620544
325,4,0,1,-0.003323606913909316,0.001604565535672009,0.5142987966537476,9.395519256591797,0.0287,0.13458576798439026
326,4,0,2,-0.002231645630672574,0.003142733359709382,0.6200952529907227,2.9341330528259277,0.0019,0.4718661904335022
327,4,0,3,0.00015369484026450664,0.003457569284364581,-0.13237778842449188,2.247173547744751,0.0,0.4528016448020935
328,4,0,4,0.0011711774859577417,0.0032407506369054317,-0.4247039556503296,2.67214035987854,0.0004,0.44173333048820496
329,4,0,5,0.00012954050907865167,0.0034540214110165834,-0.13912299275398254,2.217106819152832,0.0,0.4597681760787964
330,4,0,6,-0.0022490480914711952,0.0031163499224931,0.6304949522018433,2.939976215362549,0.0019,0.47535210847854614
331,4,0,7,-0.0032958881929516792,0.0016013014828786254,0.5838032960891724,9.58690357208252,0.0296,0.13986019790172577
332,4,0,8,-0.003139257663860917,0.0005474219215102494,-2.7265241146087646,45.180660247802734,0.0319,0.18667131662368774
333,4,1,0,-0.0033086673356592655,0.001564281526952982,0.45793622732162476,9.342236518859863,0.0277,0.1294877976179123
334,4,1,1,-0.0006958821904845536,0.0035450796131044626,0.141514390707016,2.1528360843658447,0.0001,0.47380584478378296
335,4,1,2,0.0033202017657458782,0.0026854027528315783,-0.6018468737602234,4.285695552825928,0.0109,0.317852646112442
336,4,1,3,0.004372669383883476,0.0024119759909808636,0.10492579638957977,2.858652114868164,0.0024,0.3536664843559265
337,4,1,4,0.004455442540347576,0.0024616962764412165,0.0880700871348381,2.6785027980804443,0.0017,0.3762386739253998
338,4,1,5,0.004337701480835676,0.002392394235357642,0.0685897246003151,2.884809732437134,0.0029,0.3482741415500641
339,4,1,6,0.0032938248477876186,0.0026353278663009405,-0.5469772815704346,4.235677719116211,0.0094,0.30672401189804077
340,4,1,7,-0.0007683773874305189,0.003528566798195243,0.12962552905082703,2.104375123977661,0.0002,0.48318514227867126
341,4,1,8,-0.003321117488667369,0.001575790229253471,0.4213603138923645,9.314658164978027,0.0282,0.12641842663288116
342,4,2,0,-0.0023463063407689333,0.003065024735406041,0.7243653535842896,3.2134830951690674,0.0025,0.47447121143341064
343,4,2,1,0.0032822254579514265,0.002736546564847231,-0.5711234211921692,4.204593658447266,0.0099,0.31541261076927185
344,4,2,2,0.004598686005920172,0.002558597130700946,0.039980098605155945,2.744027614593506,0.0015,0.3650102913379669
345,4,2,3,0.003946809563785791,0.0027168774977326393,-0.041971780359745026,2.6518356800079346,0.0012,0.3777616024017334
346,4,2,4,0.0032872066367417574,0.002851732773706317,-0.11772530525922775,2.7030839920043945,0.0014,0.37507501244544983
347,4,2,5,0.003957464825361967,0.0027348091825842857,-0.039159663021564484,2.7445600032806396,0.001,0.3649158775806427
348,4,2,6,0.004597369581460953,0.002584076253697276,0.027669522911310196,2.760469675064087,0.001,0.3625345230102539
349,4,2,7,0.0032550133764743805,0.002682247431948781,-0.5720375776290894,4.183384895324707,0.0094,0.3172615170478821
350,4,2,8,-0.002311148215085268,0.003069078316912055,0.6857437491416931,3.117558479309082,0.0027,0.471601277589798
351,4,3,0,3.881365046254359e-05,0.0034927858505398035,-0.07669937610626221,2.26374888420105,0.0001,0.44434377551078796
352,4,3,1,0.004278702195733786,0.002430734457448125,0.05967196822166443,2.878516435623169,0.0029,0.3486382067203522
353,4,3,2,0.003931592684239149,0.002685968531295657,-0.04126233980059624,2.7146503925323486,0.0011,0.3689987361431122
354,4,3,3,0.00036717188777402043,0.003116714069619775,-0.009151900187134743,2.610074996948242,0.0006,0.38316285610198975
355,4,3,4,-0.0019089070847257972,0.003218997037038207,0.06272069364786148,2.543295383453369,0.0004,0.39473745226860046
356,4,3,5,0.00042302365181967616,0.0031203399412333965,-0.027468306943774223,2.58601713180542,0.0005,0.38698679208755493
357,4,3,6,0.003920703660696745,0.002707611070945859,-0.025398438796401024,2.7837255001068115,0.0016,0.35946252942085266
358,4,3,7,0.004289352335035801,0.0024290415458381176,0.014589049853384495,2.970919370651245,0.0038,0.3366677761077881
359,4,3,8,3.0378338124137372e-05,0.003461173502728343,-0.11364151537418365,2.1578454971313477,0.0,0.4694100618362427
360,4,4,0,0.0010699175763875246,0.003308619372546673,-0.36761048436164856,2.6009771823883057,0.0003,0.4364272952079773
361,4,4,1,0.004377934616059065,0.0024610981345176697,0.09690997004508972,2.6804330348968506,0.0017,0.37657779455184937
362,4,4,2,0.00321777886711061,0.0028479292523115873,-0.03268106281757355,2.721958637237549,0.0009,0.3677748739719391
363,4,4,3,-0.001997049432247877,0.0031823161989450455,0.0784364715218544,2.6260297298431396,0.0007,0.383145809173584
364,4,4,4,-0.005270583555102348,0.0029656735714524984,0.11485454440116882,2.4494094848632812,0.0002,0.41364729404449463
365,4,4,5,-0.0019805659539997578,0.0031904142815619707,0.0818314179778099,2.5939741134643555,0.0004,0.3880903720855713
366,4,4,6,0.003200676292181015,0.0028335615061223507,-0.02065543457865715,2.717552900314331,0.0012,0.36813512444496155
