sample_idx,mse,magnitude_mse,psnr,magnitude_psnr,max_val,max_magnitude,n_points,n_atoms
3136,0.004023356828838587,0.004938112106174231,23.950416564941406,23.06439208984375,0.9995743036270142,0.9999999403953552,500,47
3137,0.004788838792592287,0.008405331522226334,23.18509864807129,20.75444793701172,0.9985503554344177,0.9999996423721313,500,35
3138,0.0042079440318048,0.006617959123104811,23.729280471801758,21.79274559020996,0.9965499043464661,0.9999983906745911,500,36
3139,0.006374333519488573,0.009443446062505245,21.944904327392578,20.24869155883789,0.9987634420394897,0.999999463558197,500,35
3140,0.0051375385373830795,0.009049225598573685,22.8786563873291,20.433866500854492,0.9984133839607239,0.9999977946281433,500,36
3141,0.0032213032245635986,0.002548311837017536,24.91689109802246,25.937467575073242,0.9996784925460815,0.9999994039535522,500,70
3142,0.009469597600400448,0.017666690051555634,20.227052688598633,17.528444290161133,0.9988916516304016,0.9999995231628418,500,27
3143,0.0042005558498203754,0.006413964554667473,23.736242294311523,21.928730010986328,0.9964728951454163,0.999999463558197,500,41
3144,0.005458488594740629,0.007620599120855331,22.618932723999023,21.18010902404785,0.9988097548484802,0.9999998807907104,500,40
3145,0.003088864032179117,0.004848637618124485,25.090023040771484,23.143774032592773,0.9986206889152527,0.9999967813491821,500,48
3146,0.005281936842948198,0.004978271666914225,22.770763397216797,23.029212951660156,0.999849796295166,0.9999999403953552,500,57
3147,0.0055365231819450855,0.006513753440231085,22.56369400024414,21.86168670654297,0.9995469450950623,1.0,500,58
3148,0.00497368024662137,0.006615141406655312,23.03033447265625,21.794605255126953,0.999667763710022,0.9999998807907104,500,50
3149,0.006617703475058079,0.012063877657055855,21.77754020690918,19.185129165649414,0.9982301592826843,0.9999997615814209,500,33
3150,0.0038363549392670393,0.006401971913874149,24.140504837036133,21.936851501464844,0.9976646304130554,0.9999986290931702,500,33
3151,0.008424434810876846,0.01042046770453453,20.727773666381836,19.82112693786621,0.9980655908584595,1.0,500,49
3152,0.0020248861983418465,0.0024782735854387283,26.9112491607666,26.058385848999023,0.9971551299095154,0.9999862313270569,500,58
3153,0.003510907990857959,0.004374322015792131,24.543235778808594,23.59087371826172,0.9997041821479797,0.9999979734420776,500,52
3154,0.0030669495463371277,0.004134817980229855,25.120529174804688,23.835424423217773,0.9985730648040771,0.999998927116394,500,47
3155,0.004121043253690004,0.006913056597113609,23.846832275390625,21.603290557861328,0.9996436238288879,0.9999990463256836,500,38
3156,0.0025884550996124744,0.0020579094998538494,25.866390228271484,26.8657283782959,0.9996310472488403,0.9999988079071045,500,78
3157,0.008167271502315998,0.017725342884659767,20.869266510009766,17.514039993286133,0.9988535046577454,0.9999983906745911,500,25
3158,0.006559558678418398,0.010318790562450886,21.81210708618164,19.863710403442383,0.997797966003418,0.9999997615814209,500,38
3159,0.003229929832741618,0.004949022550135851,24.892406463623047,23.0548038482666,0.9981985092163086,0.9999997019767761,500,52
3160,0.004538058303296566,0.005426639690995216,23.418872833251953,22.6546630859375,0.9985703229904175,0.9999970197677612,500,46
3161,0.004549830686300993,0.004738546442240477,23.403366088867188,23.243532180786133,0.998081386089325,0.9999980926513672,500,52
3162,0.0049174027517437935,0.009011106565594673,23.0560302734375,20.452171325683594,0.9969408512115479,0.9999947547912598,500,37
3163,0.0028194240294396877,0.003803689731284976,25.493379592895508,24.19791030883789,0.9994229078292847,0.9999957084655762,500,53
3164,0.0036001717671751976,0.0050694504752755165,24.426759719848633,22.95038414001465,0.998848557472229,0.9999991059303284,500,45
3165,0.003797176294028759,0.004543700721114874,24.202884674072266,23.425891876220703,0.9997113943099976,0.9999986290931702,500,47
3166,0.006941100582480431,0.013994564302265644,21.57166862487793,18.540401458740234,0.9983839988708496,0.9999995827674866,500,29
3167,0.0051614027470350266,0.0078057292848825455,22.86836814880371,21.075864791870117,0.9995448589324951,0.9999997019767761,500,39
3168,0.0026877194177359343,0.0029494541231542826,25.69788360595703,25.302579879760742,0.9990476369857788,0.999999463558197,500,64
